Police Department,State,sort order,data entered?,agency_type,ori,civilian_complaints_reported,civilian_complaints_sustained,use_of_force_complaints_reported,use_of_force_complaints_sustained,discrimination_complaints_reported,discrimination_complaints_sustained,criminal_complaints_reported,criminal_complaints_sustained,complaints_in_detention_reported,complaints_in_detention_sustained,years_of_complaints_data,civilian_complaints_source,civilian_complaints_source_link,2019 data available?,civilian_complaints_reported_2013,civilian_complaints_sustained_2013,use_of_force_complaints_reported_2013,use_of_force_complaints_sustained_2013,discrimination_complaints_reported_2013,discrimination_complaints_sustained_2013,criminal_complaints_reported_2013,criminal_complaints_sustained_2013,complaints_in_detention_reported_2013,complaints_in_detention_sustained_2013,civilian_complaints_reported_2014,civilian_complaints_sustained_2014,use_of_force_complaints_reported_2014,use_of_force_complaints_sustained_2014,discrimination_complaints_reported_2014,discrimination_complaints_sustained_2014,criminal_complaints_reported_2014,criminal_complaints_sustained_2014,complaints_in_detention_reported_2014,complaints_in_detention_sustained_2014,civilian_complaints_reported_2015,civilian_complaints_sustained_2015,use_of_force_complaints_reported_2015,use_of_force_complaints_sustained_2015,discrimination_complaints_reported_2015,discrimination_complaints_sustained_2015,criminal_complaints_reported_2015,criminal_complaints_sustained_2015,complaints_in_detention_reported_2015,complaints_in_detention_sustained_2015,civilian_complaints_reported_2016,civilian_complaints_sustained_2016,use_of_force_complaints_reported_2016,use_of_force_complaints_sustained_2016,discrimination_complaints_reported_2016,discrimination_complaints_sustained_2016,criminal_complaints_reported_2016,criminal_complaints_sustained_2016,complaints_in_detention_reported_2016,complaints_in_detention_sustained_2016,civilian_complaints_reported_2017,civilian_complaints_sustained_2017,use_of_force_complaints_reported_2017,use_of_force_complaints_sustained_2017,discrimination_complaints_reported_2017,discrimination_complaints_sustained_2017,criminal_complaints_reported_2017,criminal_complaints_sustained_2017,complaints_in_detention_reported_2017,complaints_in_detention_sustained_2017,civilian_complaints_reported_2018,civilian_complaints_sustained_2018,use_of_force_complaints_reported_2018,use_of_force_complaints_sustained_2018,discrimination_complaints_reported_2018,discrimination_complaints_sustained_2018,criminal_complaints_reported_2018,criminal_complaints_sustained_2018,complaints_in_detention_reported_2018,complaints_in_detention_sustained_2018,civilian_complaints_reported_2019,civilian_complaints_sustained_2019,use_of_force_complaints_reported_2019,use_of_force_complaints_sustained_2019,discrimination_complaints_reported_2019,discrimination_complaints_sustained_2019,criminal_complaints_reported_2019,criminal_complaints_sustained_2019,complaints_in_detention_reported_2019,complaints_in_detention_sustained_2019,civilian_complaints_reported_2020,civilian_complaints_sustained_2020,use_of_force_complaints_reported_2020,use_of_force_complaints_sustained_2020,discrimination_complaints_reported_2020,discrimination_complaints_sustained_2020,criminal_complaints_reported_2020,criminal_complaints_sustained_2020,complaints_in_detention_reported_2020,complaints_in_detention_sustained_2020,civilian_complaints_reported_2021,civilian_complaints_sustained_2021,use_of_force_complaints_reported_2021,use_of_force_complaints_sustained_2021,discrimination_complaints_reported_2021,discrimination_complaints_sustained_2021,criminal_complaints_reported_2021,criminal_complaints_sustained_2021,complaints_in_detention_reported_2021,complaints_in_detention_sustained_2021,civilian_complaints_reported_2022,civilian_complaints_sustained_2022,use_of_force_complaints_reported_2022,use_of_force_complaints_sustained_2022,discrimination_complaints_reported_2022,discrimination_complaints_sustained_2022,criminal_complaints_reported_2022,criminal_complaints_sustained_2022,complaints_in_detention_reported_2022,complaints_in_detention_sustained_2022,Notes,Data input by,Complaints data fact-checked? (Put your Slack handle here if you've finished checking all the info for columns E-O). Change any cells that are incorrect and highlight the ones you've changed in yellow.,Response,FINAL CHECK,Matches aggregated?,2016-2019 Updated Data,2021 Request Fact-Checking (requests filed in 2021 for data from previous years),2021 Response 1,2021 Re-check,civilian_complaints_reported,civilian_complaints_sustained,use_of_force_complaints_reported,use_of_force_complaints_sustained,discrimination_complaints_reported,discrimination_complaints_sustained,criminal_complaints_reported,criminal_complaints_sustained,complaints_in_detention_reported,complaints_in_detention_sustained,years_of_complaints_data_original,population
Maple Grove,MN,158,Yes,police-department,MN0272700,58,19,7,0,5,0,0,0,,,2013-21,Obtained from the Police Department,https://www.muckrock.com/foi/maple-grove-1575/police-data-collection-project-maple-grove-pd-98451/#file-895172,yes,5,5,0,0,0,0,0,0,,,4,4,0,0,0,0,0,0,,,6,3,0,0,0,0,0,0,,,8,3,2,0,0,0,,,,,8,2,0,0,1,0,,,,,9,0,1,0,1,0,,,,,10,0,1,0,1,0,,,,,,,,,,,,,,,8,2,3,0,2,0,0,0,,,,,,,,,,,,,,samswey: agency reported 2 sustained complaints in 2021 via public records request and only 1 sustained complaint via state database.,@MaryHammond,,Good,Good,,maryhammond,,,58,19,7,0,5,0,0,0,,,2016-21,73939
Somerville,MA,159,Yes,police-department,MA0093900,109,19,14,0,3,0,1,0,,,2013-21,Obtained from the Police Department,https://www.muckrock.com/foi/somerville-8/police-data-collection-project-somerville-police-department-98415/,yes,7,4,,,,,,,,,4,2,,,,,,,,,14,3,,,,,1,0,,,16,2,3,0,1,0,,,,,16,1,0,0,1,0,,,,,15,1,3,0,0,0,,,,,14,3,4,0,0,0,,,,,15,2,2,0,,,,,,,8,1,2,0,1,0,0,0,,,,,,,,,,,,,,,@MaryHammond,,Good,Good,,maryhammond,,,109,19,14,0,3,0,1,0,,,2016-21,81552
Iowa City,IA,160,Yes,police-department,IA0520200,83,17,28,1,10,0,,,,,2013-21,Obtained from the Police Department,https://www.muckrock.com/foi/iowa-city-13760/police-data-collection-project-iowa-city-police-department-98443/#file-894997,yes,10,3,5,0,3,0,,,,,12,2,4,0,0,0,,,,,3,1,0,0,2,0,,,,,8,4,3,0,0,0,,,,,11,2,1,0,4,0,,,,,3,1,2,1,0,0,,,,,16,1,2,0,1,0,,,,,4,1,6,0,0,0,,,,,16,2,5,0,,,,,,,,,,,,,,,,,,,@MaryHammond,,Good,Good,maryhammond 2013-15,maryhammond,,,83,17,28,1,10,0,,,,,2016-21,75964
Yuma,AZ,161,Yes,police-department,AZ0140500,,,,,,,,,,,,Obtained from the Police Department,https://www.muckrock.com/foi/yuma-9514/police-data-collection-project-yuma-police-department-97866/#file-895044,yes,,1,,0,,0,,0,,,,0,,0,,0,,0,,,,3,,0,,0,,0,,,,5,,0,,0,,,,,,4,,0,,0,,,,,,1,,0,,0,,,,,,4,,0,,0,,,,,,0,,0,,0,,0,,,,2,,0,,0,,0,,,,,,,,,,,,,,,@MaryHammond,,Good,Good,,maryhammond,,,,,,,,,,,,,2016-21,99096
North Richland Hills,TX,162,Yes,police-department,TX2202100,8,0,1,0,8,0,,,,,2016-19,Obtained from the Police Department,https://www.muckrock.com/foi/north-richland-hills-2940/police-data-collection-project-north-richland-hills-pd-98452/#file-894826,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,0,1,0,3,0,,,,,2,0,0,0,0,0,,,,,1,0,0,0,5,0,,,,,2,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,@MaryHammond,,Good,Good,,,,,8,0,1,0,8,0,,,,,2016-21,71520
Goodyear,AZ,163,Yes,police-department,AZ0071500,773,12,2,1,0,0,0,0,,,2013-20,Obtained from the Police Department,https://www.muckrock.com/foi/goodyear-9557/police-data-collection-project-goodyear-police-department-98459/#file-894738,yes,180,0,0,0,0,0,0,0,,,206,0,0,0,0,0,0,0,,,150,0,0,0,0,0,0,0,,,5,2,0,0,0,0,,,,,7,2,0,0,0,0,,,,,9,3,0,0,0,0,,,,,13,4,0,0,0,0,,,,,203,1,2,1,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,@MaryHammond,,Good,Good,,maryhammond,,,773,12,2,1,0,0,0,0,,,2016-21,89607
South Jordan,UT,164,Yes,police-department,UT0181800,,,0,0,,,,,,,,Obtained from the Police Department,https://www.muckrock.com/foi/south-jordan-31719/police-data-collection-project-south-jordan-police-department-98457/#file-897758,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,0,0,,,,,,,,,0,0,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,@MaryHammond,,Good,,,,,,,,0,0,,,,,,,2016-21,80090
Frederick County,MD,165,Yes,sheriff,MD0110000,76,9,1,0,4,0,1,0,,,2016-21,Obtained from the Police Department,https://www.muckrock.com/foi/frederick-county-16477/police-data-collection-project-frederick-county-sheriffs-office-97766/#file-897751,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,1,0,0,0,0,,,,,9,1,0,0,1,0,,,,,22,0,1,0,1,0,,,,,23,4,0,0,1,0,,,,,,,,,,,,,,,11,3,0,0,1,0,1,0,,,,,,,,,,,,,,,"@MaryHammond - used term ""Brutality"" in determining use of force number",,Good,Good,,,,,76,9,1,0,4,0,1,0,,,2016-21,171188
Pawtucket,RI,166,Yes,police-department,RI0040800,146,15,12,0,0,0,,,,,2016-19,Obtained from the Police Department,https://www.muckrock.com/foi/pawtucket-2213/police-data-collection-project-pawtucket-police-department-98423/#comms,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27,5,3,0,,,,,,,42,5,4,0,0,0,,,,,44,4,2,0,2,,,,,,33,1,3,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,racial profiling complaints data is only available for 2017-2019; unclear if any racial profiling complaints were sustained in 2017,,@MaryHammond,,"Good - removed the discrimination complaint #, couldn't find",Good,,,,,146,15,12,0,0,0,,,,,2016-21,72017
Bellingham,WA,167,Yes,police-department,WA0370100,23,3,9,0,3,0,1,0,,,2021,Obtained from the Police Department,https://www.muckrock.com/foi/bellingham-8289/police-data-collection-project-bellingham-police-department-97810/#comms,yes,2,,,,,,,,,,1,,,,,,,,,,5,,,,3,,,,,,3,,2,0,,,,,,,,,5,0,,,,,,,4,,0,0,,,,,,,1,,1,0,,,,,,,7,,,,,,,,,,23,3,1,0,3,0,1,0,,,,,,,,,,,,,,,@MaryHammond,,Good,Good,,maryhammond,,,23,3,9,0,3,0,1,0,,,2016-21,93629
Warner Robins,GA,168,Yes,police-department,GA0760200,123,12,5,0,8,0,0,0,,,2014-21,Obtained from the Police Department,https://www.muckrock.com/foi/warner-robins-5482/police-data-collection-project-warner-robins-police-department-98453/#file-897627,yes,,,,,,,,,,,9,0,2,0,3,0,,,,,5,0,0,0,0,0,,,,,14,,1,,1,,,,,,26,3,0,,1,,,,,,26,3,0,0,0,0,,,,,20,3,1,,4,,,,,,12,2,0,0,0,0,,,,,25,1,3,0,5,0,0,0,,,,,,,,,,,,,,,@MaryHammond,,Good,Good,,maryhammond,,,123,12,5,0,8,0,0,0,,,2016-21,78065
Westland,MI,169,Yes,police-department,MI8281700,112,62,4,4,3,0,2,0,,,2016-21,Obtained from the Police Department,https://www.muckrock.com/foi/westland-17264/police-data-collection-project-westland-city-clerk-98434/#file-897216,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,8,,,,,,,,,21,16,,,,,,,,,44,25,,,,,,,,,11,4,2,2,1,0,1,0,,,16,8,2,2,2,0,1,0,,,2,1,,,,,,,,,,,,,,,,,,,no breakdown by type of complaint provided,2019-21 maryhammond,@MaryHammond,,Good,Good,,,,,112,62,4,4,3,0,2,0,,,2016-21,81244
Lafayette,LA,170,Yes,police-department,LA0280300,33,8,1,1,,,,,,,2016-21,Obtained from the Police Department,https://old.lafayettela.gov/PoliceDepartment/Pages/Annual-Reports,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,0,7,,0,,,,,,4,1,1,,0,,,,,,3,2,1,,0,,,,,,6,0,2,,0,,,,,,4,1,1,1,,,,,,,6,4,,,,,,,,,,,,,,,,,,,,samswey,@MaryHammond,,Good,Good,,,,,33,8,1,1,,,,,,,2016-21,126679
New Rochelle,NY,171,Yes,police-department,NY0590400,202,32,,,,,,,,,2014-21,Obtained from the Police Department,https://www.muckrock.com/foi/new-rochelle-22890/police-data-collection-project-new-rochelle-city-police-department-98473/#file-897194,yes,,,,,,,,,,,18,1,,,,,,,,,21,1,,,,,,,,,32,4,,,,,,,,,20,1,,,,,,,,,25,5,,,,,,,,,25,3,,,,,,,,,32,6,,,,,,,,,29,11,,,,,,,,,36,12,,,,,,,,,,samswey,@MaryHammond,,Good,Good,,maryhammond,,,202,32,,,,,,,,,2016-21,78707
Tempe,AZ,172,Yes,police-department,AZ0072900,148,22,27,1,11,0,3,1,,,2016-21,Obtained from the Police Department,https://www.muckrock.com/foi/tempe-4732/police-data-collection-project-tempe-police-department-97742/#file-897353,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37,9,6,0,2,0,,,,,22,4,3,0,2,0,,,,,14,2,4,1,3,0,,,,,30,1,5,0,2,0,,,,,18,1,4,0,2,0,1,1,,,27,5,5,0,0,0,2,0,,,,,,,,,,,,,,,@MaryHammond,,Good,Good,,,,,148,22,27,1,11,0,3,1,,,2016-21,199935
Tuscon,AZ,173,Yes,police-department,AZ0100300,2024,58,69,1,28,0,7,1,,,2016-19,Obtained from the Police Department,https://www.muckrock.com/foi/tucson-140/police-data-collection-project-tucson-police-department-87632/files/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,523,10,17,0,6,0,1,0,,,478,18,15,1,4,0,3,0,,,481,15,18,0,10,0,0,0,,,542,15,19,0,8,0,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Good,Good,,,,,2024,58,69,1,28,0,7,1,,,2016-21,550448
Missoula,MT,174,Yes,police-department,MT0320100,259,40,4,0,6,0,,,,,2016-21,Obtained from the Police Department,https://www.muckrock.com/foi/missoula-21204/police-data-collection-project-police-department-98454/,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31,7,1,0,3,0,,,,,24,4,,,1,0,,,,,32,8,2,0,1,0,,,,,26,5,1,0,1,0,,,,,68,5,8,,2,,,,,,78,11,6,,0,0,1,,,,,,,,,,,,,,,,,,Good,Good,,maryhammond,,,259,40,4,0,6,0,,,,,2016-21,76468
Lake County,FL,175,Yes,sheriff,FL0350000,105,30,9,2,0,0,3,2,,,2016-21,Obtained from the Police Department,https://www.muckrock.com/foi/lake-county-194/police-data-collection-project-lake-county-sheriffs-office-97716/#comms,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,2,,,,,,,,,26,7,,,,,,,,,26,7,,,,,,,,,14,3,,,,,,,,,6,2,2,0,,,,,,,20,9,7,2,0,0,3,2,,,,,,,,,,,,,,,,,Good,Good,,@MaryHammond,,,105,30,9,2,0,0,3,2,,,2016-21,183417
Appleton,WI,176,Yes,police-department,WI0450100,28,11,3,0,2,0,3,0,,,2013-20,Obtained from the Police Department,https://www.muckrock.com/foi/city-of-appleton-949/police-data-collection-project-appleton-police-department-98419/#comms,,11,3,0,0,1,0,3,0,,,4,1,1,0,1,0,0,0,,,1,1,0,0,0,0,0,0,,,1,0,1,0,0,0,0,0,,,2,2,,,,,,,,,4,0,,,,,,,,,2,2,,,,,,,,,3,2,1,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,Good,Good,,maryhammond - don't see 2020 civ complaints number,alliemonck,,28,11,3,0,2,0,3,0,,,2016-21,61661
Dekalb County,GA,177,Yes,police-department,GA0440200,1182,232,50,0,27,4,15,4,,,2016-21,Obtained from the Police Department,https://www.muckrock.com/foi/dekalb-county-4877/police-data-collection-project-dekalb-county-police-department-97828/#comms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,165,22,8,0,4,1,,,,,148,15,10,0,9,3,,,,,269,59,13,0,1,0,,,,,203,37,4,0,9,0,,,,,186,56,6,0,1,0,10,1,,,211,43,9,0,3,0,5,3,,,,,,,,,,,,,all #s allegations,samswey,used allegations - need to check,,Good,Good,,@MaryHammond-changed 2017 discrimination complaint sustained which changed total number,alliemonck,,1182,232,50,0,27,4,15,4,,,2016-21,525376
Homestead,FL,178,No,police-department,FL0130500,,,,,,,,,,,,Obtained from the Police Department,https://www.muckrock.com/foi/homestead-10558/police-data-collection-project-homestead-police-department-98467/#file-900067,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Good,,,,,,,,,,,,,,,,2016-21,70538
Elizabeth,NJ,179,Yes,police-department,NJ0200400,310,84,23,0,8,0,13,1,,,2020-21,Obtained from the Police Department,https://www.muckrock.com/foi/elizabeth-6900/police-data-collection-project-city-of-elizabeth-nj-97752/,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42,,5,,5,,0,,,,62,,7,,12,,3,,,,83,,6,,11,,4,,,,77,,13,,3,,2,,,,149,31,15,0,5,0,12,1,,,161,53,8,0,3,0,1,0,,,,,,,,,,,,,,,,,Good,Good,,,,,310,84,23,0,8,0,13,1,,,2016-21,129518
Clayton County,GA,180,Yes,police-department,GA0310100,461,155,34,5,8,0,3,0,,,2016-21,Obtained from the Police Department,https://www.muckrock.com/foi/clayton-county-4862/police-data-collection-project-clayton-county-police-department-97830/#file-899275,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,108,26,11,1,3,0,,,,,80,21,5,0,4,0,,,,,72,32,14,1,,,,,,,65,25,3,3,1,0,,,,,58,22,1,0,0,0,3,0,,,78,29,0,0,0,0,0,0,,,,,,,,,,,,,,,,,Good,Good,,,,,461,155,34,5,8,0,3,0,,,2016-21,243077
Waukesha,WI,181,Yes,police-department,WI0680500,20,0,4,0,0,0,,,,,2016-21,Obtained from the Police Department,https://docs.google.com/document/d/1u3mLH5vt2kd2lBa5s2LwXIhwoJLzJup4Y-K86iVDUHI/edit#,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0,0,0,0,0,,,,,9,0,3,0,0,0,,,,,3,0,0,0,0,0,,,,,1,0,0,0,0,0,,,,,17,,1,,2,,0,,,,5,0,1,0,0,0,,,,,,,,,,,,,,,,samswey,,,Good,,,@MaryHammond,,,20,0,4,0,0,0,,,,,2016-21,72421
West Valley City,UT,182,Yes,police-department,UT0182500,142,31,8,0,3,0,,,,,2016-19,Obtained from the Police Department,https://www.muckrock.com/foi/west-valley-city-31728/police-data-collection-project-west-valley-police-department-97844/#comms,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19,2,2,0,1,0,,,,,11,2,0,0,1,0,,,,,51,11,3,0,1,0,,,,,61,16,3,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Good,Good,,,,,142,31,8,0,3,0,,,,,2016-21,135887
Surprise,AZ,183,Yes,police-department,AZ0072700,30,10,1,0,0,0,0,0,,,2021,Obtained from the Police Department,https://www.muckrock.com/foi/surprise-9567/police-data-collection-project-surprise-police-department-97804/#comms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38,,,,,,,,,,20,,,,,,,,,,30,,,,,,,,,,41,,,,,,,,,,38,,,,,,,,,,30,10,1,0,0,0,0,0,,,78,5,0,0,0,0,3,0,,,,samswey,,,Good,Good,,@MaryHammond,,,30,10,1,0,0,0,0,0,,,2016-21,144620
Union City,NJ,184,Yes,police-department,NJ0135000,172,24,24,0,2,0,2,0,,,2016-21,Obtained from the Police Department,https://www.muckrock.com/foi/union-city-7258/police-data-collection-project-union-city-police-department-98425/#file-898394,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31,2,3,0,0,0,,,,,22,4,2,0,1,0,,,,,28,5,6,0,1,0,,,,,58,7,7,0,0,0,,,,,,,,,,,,,,,33,6,6,0,0,0,2,0,,,,,,,,,,,,,,,,,Good,Good,,,,,172,24,24,0,2,0,2,0,,,2016-21,5210
Kirkland,WA,185,Yes,police-department,WA0170800,149,13,18,0,10,0,0,0,,,2014-21,Obtained from the Police Department,https://www.muckrock.com/foi/kirkland-8400/police-data-collection-project-city-of-kirkland-public-records-requests-co-city-clerk-kathi-anderson-97789/,yes,,,,,,,,,,,2,2,0,0,0,0,,,,,24,1,0,0,0,0,,,,,19,1,3,0,1,0,,,,,21,3,1,0,3,0,,,,,17,3,2,0,2,0,,,,,29,2,7,0,1,0,,,,,28,1,2,0,2,0,,,,,9,0,3,0,1,0,0,0,,,,,,,,,,,,,,,,,Good,Good,,,,,149,13,18,0,10,0,0,0,,,2016-21,94470
Kent,WA,186,Yes,police-department,WA0170700,176,0,18,0,19,0,,,,,2016-19,Obtained from the Police Department,https://www.muckrock.com/foi/kent-67/police-data-collection-project-kent-police-department-97826/#file-904170,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42,0,4,0,3,0,,,,,36,0,4,0,2,0,,,,,50,0,3,0,6,0,,,,,48,0,7,0,8,0,,,,,,,,,,,,,,,,,,,,,,,,,38,8,2,0,7,0,8,1,,,,,,,Good,,,,,,176,0,18,0,19,0,,,,,2016-21,133883
Brooklyn Park,MN,187,Yes,police-department,MN0270300,599,79,66,0,79,0,43,6,,,2014-21,Obtained from the Police Department,https://www.muckrock.com/foi/brooklyn-park-1178/police-data-collection-project-police-98445/#file-902469,yes,,,,,,,,,,,46,8,8,0,11,0,2,0,,,67,12,14,0,10,0,2,0,,,77,6,12,0,19,0,6,2,,,76,11,6,0,2,0,3,0,,,108,12,3,0,13,0,10,2,,,79,11,8,0,8,0,5,0,,,65,13,10,0,9,0,8,1,,,81,6,5,0,7,0,7,1,,,,,,,,,,,,,,samswey,,,,,,,,,599,79,66,0,79,0,43,6,,,2016-21,80897
Fargo,ND,188,Yes,police-department,ND0090200,32,11,5,4,1,0,0,0,,,2013-21,Obtained from the Police Department,https://www.muckrock.com/foi/fargo-23714/police-data-collection-project-fargo-police-department-97814/,,0,0,0,0,,,,,,,1,1,1,1,,,,,,,2,2,0,0,,,,,,,2,2,2,2,,,,,,,0,0,0,0,,,,,,,3,2,2,1,,,,,,,1,0,0,0,,,,,,,6,2,0,0,,,,,,,17,2,0,0,1,0,0,0,,,,,,,,,,,,,,,,,,Good,,maryhammond,,,32,11,5,4,1,0,0,0,,,2016-21,126927
Greensboro,NC,189,Yes,police-department,NC0410200,581,144,14,6,32,1,31,15,,,2016-19,Obtained from the Police Department,https://www.muckrock.com/foi/greensboro-4228/police-data-collection-project-greensboro-police-department-87681/,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,121,38,7,3,6,,,,,,127,40,1,0,24,,,,,,158,28,1,0,22,,,,,,108,38,3,2,18,,,,,,87,,2,1,24,1,14,10,,,67,,1,0,8,0,17,5,,,58,14,0,0,13,0,5,0,,,used allegation #s for complaint totals and complaints sustained,mhammond,used allegation #s for total,,,Good,,,,,514,144,15,6,32,1,31,15,,,2016-21,299887
Brick Township,NJ,190,Yes,police-department,NJ0150600,26,0,0,0,2,0,12,0,,,2021,Obtained from the Police Department,https://www.muckrock.com/foi/new-jersey-229/police-data-collection-project-municipal-clerk-brick-township-98460/#comms,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27,,3,,2,,2,,,,43,,7,,3,,1,,,,25,,2,,1,,7,,,,46,,2,,8,,6,,,,,,,,,,,,,,26,0,0,0,2,0,12,0,,,,,,,,,,,,,sustained #s combine all types of complaints,,,,,,,,,,26,0,0,0,2,0,12,0,,,2016-21,76326
El Paso County,TX,191,Yes,sheriff,TX0710000,283,69,26,3,1,1,1,0,,,2016-21,Obtained from the Police Department,https://www.muckrock.com/foi/el-paso-county-5706/police-data-collection-project-el-paso-county-sheriff-97790/#comms,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69,19,9,2,,,,,,,61,11,9,1,,,,,,,60,7,3,0,,,,,,,63,8,4,0,,,,,,,,,,,,,,,,,30,24,1,0,1,1,1,0,,,,,,,,,,,,,,,,,,,,,,,283,69,26,3,1,1,1,0,,,2016-21,84959
Aurora,CO,192,Yes,police-department,CO0010100,305,37,21,0,13,0,4,0,,,2013-19,Obtained from the Police Department,https://www.muckrock.com/foi/aurora-364/police-data-collection-project-aurora-police-department-87656/#file-864074,,18,0,2,0,0,0,0,0,,,59,7,7,0,2,0,0,0,,,31,1,2,0,0,0,0,0,,,17,4,1,0,0,0,0,0,,,34,4,4,0,0,0,1,0,,,62,9,0,0,7,0,1,0,,,84,12,5,0,4,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"unclear how many total complaints there were, only sent the ones sustained",,,,,,,,305,37,21,0,13,0,4,0,,,2016-21,334644
Salt Lake City,UT,193,Yes,police-department,UT0180300,0,30,,,,,,,,,2017-19,Obtained from the Police Department,https://www.muckrock.com/foi/salt-lake-city-359/police-data-collection-project-salt-lake-city-police-department-97749/#comms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,,,,,,,,,12,,,,,,,,,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"unclear how many total complaints there were, only sent the ones sustained",,,,,,,,0,30,,,,,,,,,2016-21,202187
Pima County,AZ,194,Yes,sheriff,AZ0100000,610,62,91,4,4,0,,,,,2016-21,Obtained from the Police Department,https://www.muckrock.com/foi/pima-county-183/police-data-collection-project-pima-county-sheriff-97715/#comms,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,211,33,28,2,2,0,,,,,131,13,29,0,2,0,,,,,108,10,18,2,0,0,,,,,99,4,14,0,0,0,,,,,40,1,1,0,0,0,,,,,21,1,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,610,62,91,4,4,0,,,,,2016-21,374380
Sarasota County,FL,195,Yes,sheriff,FL0580000,51,23,13,1,0,0,0,0,,,2016-20,Obtained from the Police Department,https://www.muckrock.com/foi/sarasota-county-10460/police-data-collection-project-sarasota-county-sheriffs-office-97794/#comms,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,7,5,0,0,0,,,,,10,6,1,0,0,0,,,,,11,3,4,1,0,0,,,,,10,5,2,0,0,0,,,,,6,2,1,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,@MaryHammond,,,51,23,13,1,0,0,0,0,,,2016-21,278379
Farmington Hills,MI,196,Yes,police-department,MI6338900,61,5,15,0,0,0,0,0,,,2014-21,Obtained from the Police Department,https://www.muckrock.com/foi/farmington-hills-17126/police-data-collection-project-farmington-hills-police-department-farmington-hills-mi-98439/#file-903394,yes,,,,,,,,,,,10,0,3,0,0,0,0,0,,,7,1,3,0,0,0,0,0,,,6,0,3,0,0,0,0,0,,,10,2,3,0,0,0,0,0,,,8,2,3,0,0,0,0,0,,,7,0,0,0,0,0,0,0,,,8,0,0,0,0,0,0,0,,,5,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,maryhammond,,,61,5,15,0,0,0,0,0,,,2016-21,80708
Marion County,FL,197,Yes,sheriff,FL0420000,,,,,,,,,,,,Obtained from the Police Department,https://www.muckrock.com/foi/marion-county-10446/police-data-collection-project-marion-county-sheriffs-office-97811/#comms,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,87,,,,,,,,,,42,,,,,,,,,,84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2016-21,300206
Cherry Hill Township,NJ,198,Yes,police-department,NJ0041200,156,26,9,0,13,0,8,0,,,2016-21,Obtained from the Police Department,https://www.muckrock.com/foi/cherry-hill-6851/police-data-collection-project-municipal-clerk-cherry-hill-township-98461/#comms,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31,7,1,0,3,0,,,,,34,6,6,0,3,0,,,,,19,3,2,0,1,0,,,,,12,1,0,0,1,0,,,,,,,,,,,,,,,60,9,0,0,5,0,8,0,,,,,,,,,,,,,,,,,,,,,,,156,26,9,0,13,0,8,0,,,2016-21,71220
