"Police Department","State","Concatenated","ORI","2020 Population of Jurisdiciton"
"BURLINGTON TOWNSHIP POLICE","NJ","BURLINGTON TOWNSHIP POLICENJ","NJ0030600",22595
"HASTINGS POLICE DEPARTMENT","MN","HASTINGS POLICE DEPARTMENTMN","MN0190300",22957
"POTTSTOWN BOROUGH POLICE DEPARTMENT","PA","POTTSTOWN BOROUGH POLICE DEPARTMENTPA","PA0462200",22626
"FAIRFIELD TOWNSHIP POLICE DEPARTMENT","OH","FAIRFIELD TOWNSHIP POLICE DEPARTMENTOH","OH0091800",22978
"BARNEGAT TOWNSHIP POLICE","NJ","BARNEGAT TOWNSHIP POLICENJ","NJ0153300",23998
"GARDEN CITY VILLAGE POLICE DEPARTMENT","NY","GARDEN CITY VILLAGE POLICE DEPARTMENTNY","NY0290500",22465
"WAREHAM POLICE DEPARTMENT","MA","WAREHAM POLICE DEPARTMENTMA","MA0122500",23619
"MANDAN POLICE DEPARTMENT","ND","MANDAN POLICE DEPARTMENTND","ND0300200",23221
"GRIFFIN POLICE DEPARTMENT","GA","GRIFFIN POLICE DEPARTMENTGA","GA1260100",22773
"WEST MELBOURNE POLICE DEPARTMENT","FL","WEST MELBOURNE POLICE DEPARTMENTFL","FL0051600",25020
"EDGEWATER POLICE DEPARTMENT","FL","EDGEWATER POLICE DEPARTMENTFL","FL0640600",24166
"SIMPSONVILLE POLICE DEPARTMENT","SC","SIMPSONVILLE POLICE DEPARTMENTSC","SC0230500",24960
"BEDFORD POLICE DEPARTMENT","NH","BEDFORD POLICE DEPARTMENTNH","NH0060600",22788
"MUNSTER POLICE","IN","MUNSTER POLICEIN","IN0451000",22357
"BLUFFTON POLICE DEPARTMENT","SC","BLUFFTON POLICE DEPARTMENTSC","SC0070200",27549
"RADCLIFF POLICE DEPARTMENT","KY","RADCLIFF POLICE DEPARTMENTKY","KY0470200",22950
"PROSPER POLICE DEPARTMENT","TX","PROSPER POLICE DEPARTMENTTX","TX0430700",26072
"SUNNY ISLES BEACH POLICE DEPARTMENT","FL","SUNNY ISLES BEACH POLICE DEPARTMENTFL","FL0135100",21907
"HOPEWELL POLICE DEPARTMENT","VA","HOPEWELL POLICE DEPARTMENTVA","VA1130000",22498
"WESTERLY POLICE DEPARTMENT","RI","WESTERLY POLICE DEPARTMENTRI","RI0050400",22277
"MARINA POLICE DEPARTMENT","CA","MARINA POLICE DEPARTMENTCA","CA0271200",23147
"PRAIRIE VILLAGE POLICE DEPARTMENT","KS","PRAIRIE VILLAGE POLICE DEPARTMENTKS","KS0460700",22390
"NISKAYUNA TOWN POLICE DEPARTMENT","NY","NISKAYUNA TOWN POLICE DEPARTMENTNY","NY0465200",22428
"WAYNESBORO POLICE DEPARTMENT","VA","WAYNESBORO POLICE DEPARTMENTVA","VA1290000",22801
"CHRISTIANSBURG POLICE DEPARTMENT","VA","CHRISTIANSBURG POLICE DEPARTMENTVA","VA0600300",22643
"HIGHLAND POLICE","IN","HIGHLAND POLICEIN","IN0450800",22165
"PORT HUENEME POLICE DEPARTMENT","CA","PORT HUENEME POLICE DEPARTMENTCA","CA0560500",21949
"LYNDHURST POLICE DEPARTMENT","NJ","LYNDHURST POLICE DEPARTMENTNJ","NJ0023200",23169
"ROSEBURG POLICE DEPARTMENT","OR","ROSEBURG POLICE DEPARTMENTOR","OR0100500",23551
"PATTERSON POLICE SERVICES","CA","PATTERSON POLICE SERVICESCA","CA0500500",0
"DUNCAN POLICE DEPARTMENT","OK","DUNCAN POLICE DEPARTMENTOK","OK0690200",22226
"MIDDLETOWN POLICE DEPARTMENT","DE","MIDDLETOWN POLICE DEPARTMENTDE","DE0020200",23385
"WATERTOWN POLICE DEPARTMENT","SD","WATERTOWN POLICE DEPARTMENTSD","SD0140100",22248
"NAPLES POLICE DEPARTMENT","FL","NAPLES POLICE DEPARTMENTFL","FL0110100",22388
"VICKSBURG POLICE DEPARTMENT","MS","VICKSBURG POLICE DEPARTMENTMS","MS0750100",21420
"GREENFIELD POLICE","IN","GREENFIELD POLICEIN","IN0300100",23273
"RUSTON POLICE DEPARTMENT","LA","RUSTON POLICE DEPARTMENTLA","LA0310200",21846
"GUILFORD POLICE DEPARTMENT","CT","GUILFORD POLICE DEPARTMENTCT","CT0006000",22106
"FORT WALTON BEACH POLICE DEPARTMENT","FL","FORT WALTON BEACH POLICE DEPARTMENTFL","FL0460200",22871
"CLAYTON POLICE DEPARTMENT","NC","CLAYTON POLICE DEPARTMENTNC","NC0510300",26087
"BELTON POLICE DEPARTMENT","TX","BELTON POLICE DEPARTMENTTX","TX0140200",23435
"HUDSON POLICE DEPARTMENT","OH","HUDSON POLICE DEPARTMENTOH","OH0770500",22234
"JOHNSTON POLICE DEPARTMENT","IA","JOHNSTON POLICE DEPARTMENTIA","IA0770700",23252
"KLAMATH FALLS POLICE DEPARTMENT","OR","KLAMATH FALLS POLICE DEPARTMENTOR","OR0180100",22693
"MORRIS TOWNSHIP POLICE","NJ","MORRIS TOWNSHIP POLICENJ","NJ0142200",22100
"CLINTON POLICE DEPARTMENT","UT","CLINTON POLICE DEPARTMENTUT","UT0061100",22725
"PETERS TOWNSHIP POLICE DEPARTMENT","PA","PETERS TOWNSHIP POLICE DEPARTMENTPA","PA0630400",22137
"STONEHAM POLICE DEPARTMENT","MA","STONEHAM POLICE DEPARTMENTMA","MA0094000",24329
"BRISTOL POLICE DEPARTMENT","RI","BRISTOL POLICE DEPARTMENTRI","RI0010200",21748
"SUMMIT POLICE","NJ","SUMMIT POLICENJ","NJ0201800",21917
"TRUSSVILLE POLICE DEPARTMENT","AL","TRUSSVILLE POLICE DEPARTMENTAL","AL0012100",22671
"RARITAN TOWNSHIP POLICE","NJ","RARITAN TOWNSHIP POLICENJ","NJ0102100",22402
"HILLSIDE POLICE","NJ","HILLSIDE POLICENJ","NJ0200700",21995
"SOUTH LAKE TAHOE POLICE DEPARTMENT","CA","SOUTH LAKE TAHOE POLICE DEPARTMENTCA","CA0090200",22286
"VERNON TOWNSHIP POLICE","NJ","VERNON TOWNSHIP POLICENJ","NJ0192200",21819
"DARIEN POLICE DEPARTMENT","CT","DARIEN POLICE DEPARTMENTCT","CT0003500",21840
"PORTSMOUTH POLICE DEPARTMENT","NH","PORTSMOUTH POLICE DEPARTMENTNH","NH0085800",22032
"HAMBURG TOWNSHIP POLICE DEPARTMENT","MI","HAMBURG TOWNSHIP POLICE DEPARTMENTMI","MI4745100",21867
"FOX VALLEY METROPOLITAN POLICE DEPARTMEN","WI","FOX VALLEY METROPOLITAN POLICE DEPARTMENWI","WI0450400",22737
"GALLUP POLICE DEPARTMENT","NM","GALLUP POLICE DEPARTMENTNM","NM0170100",21460
"GARDNER DEPARTMENT OF PUBLIC SAFETY","KS","GARDNER DEPARTMENT OF PUBLIC SAFETYKS","KS0461200",22370
"NEW CASTLE (CITY) POLICE DEPARTMENT","PA","NEW CASTLE (CITY) POLICE DEPARTMENTPA","PA0370200",21445
"LINCOLN POLICE DEPARTMENT","RI","LINCOLN POLICE DEPARTMENTRI","RI0040600",22029
"DEL CITY POLICE DEPARTMENT","OK","DEL CITY POLICE DEPARTMENTOK","OK0550200",21750
"WAUKEE POLICE DEPARTMENT","IA","WAUKEE POLICE DEPARTMENTIA","IA0250400",25590
"CARRBORO POLICE DEPARTMENT","NC","CARRBORO POLICE DEPARTMENTNC","NC0680300",21377
"NORTH PLAINFIELD POLICE","NJ","NORTH PLAINFIELD POLICENJ","NJ0181400",21279
"DUARTE POLICE DEPARTMENT","CA","DUARTE POLICE DEPARTMENTCA","CA0192100",0
"MUSTANG POLICE DEPARTMENT","OK","MUSTANG POLICE DEPARTMENTOK","OK0090500",23658
"ESSEX POLICE DEPARTMENT","VT","ESSEX POLICE DEPARTMENTVT","VT0040200",22156
"ROSELLE BOROUGH POLICE","NJ","ROSELLE BOROUGH POLICENJ","NJ0201400",21867
"EAST PENNSBORO TOWNSHIP POLICE DEPARTMENT","PA","EAST PENNSBORO TOWNSHIP POLICE DEPARTMENTPA","PA0210300",21556
"SMITHFIELD POLICE DEPARTMENT","RI","SMITHFIELD POLICE DEPARTMENTRI","RI0041100",21893
"ALLIANCE POLICE DEPARTMENT","OH","ALLIANCE POLICE DEPARTMENTOH","OH0760100",21322
"CLARKSVILLE POLICE","IN","CLARKSVILLE POLICEIN","IN0100200",21558
"SHELBYVILLE POLICE DEPARTMENT","TN","SHELBYVILLE POLICE DEPARTMENTTN","TN0020100",22306
"FAIRHOPE POLICE DEPARTMENT","AL","FAIRHOPE POLICE DEPARTMENTAL","AL0050200",23517
"GOLDEN VALLEY POLICE DEPARTMENT","MN","GOLDEN VALLEY POLICE DEPARTMENTMN","MN0270800",22060
"LEXINGTON POLICE DEPARTMENT","SC","LEXINGTON POLICE DEPARTMENTSC","SC0320400",22592
"GLENVILLE TOWN POLICE DEPARTMENT","NY","GLENVILLE TOWN POLICE DEPARTMENTNY","NY0465100",21609
"HAMTRAMCK POLICE DEPARTMENT","MI","HAMTRAMCK POLICE DEPARTMENTMI","MI8245300",21514
"PASCAGOULA POLICE DEPARTMENT","MS","PASCAGOULA POLICE DEPARTMENTMS","MS0300300",21633
"NIXA POLICE DEPARTMENT","MO","NIXA POLICE DEPARTMENTMO","MO0220200",22924
"UNION CITY POLICE DEPARTMENT","GA","UNION CITY POLICE DEPARTMENTGA","GA0600600",22744
"MUKILTEO POLICE DEPARTMENT","WA","MUKILTEO POLICE DEPARTMENTWA","WA0311300",21573
"WATERTOWN POLICE DEPARTMENT","CT","WATERTOWN POLICE DEPARTMENTCT","CT0015300",21475
"LAPORTE POLICE","IN","LAPORTE POLICEIN","IN0460100",21515
"LOWER TOWNSHIP POLICE","NJ","LOWER TOWNSHIP POLICENJ","NJ0050500",21177
"PRICHARD POLICE DEPARTMENT","AL","PRICHARD POLICE DEPARTMENTAL","AL0020200",21305
"ANNISTON POLICE DEPARTMENT","AL","ANNISTON POLICE DEPARTMENTAL","AL0110100",21112
"LUDLOW POLICE DEPARTMENT","MA","LUDLOW POLICE DEPARTMENTMA","MA0071200",21171
"SEDALIA POLICE DEPARTMENT","MO","SEDALIA POLICE DEPARTMENTMO","MO0800300",21639
"PERRYSBURG POLICE DEPARTMENT","OH","PERRYSBURG POLICE DEPARTMENTOH","OH0870300",21723
"LINO LAKES POLICE DEPARTMENT","MN","LINO LAKES POLICE DEPARTMENTMN","MN0020700",22337
"ARVIN POLICE DEPARTMENT","CA","ARVIN POLICE DEPARTMENTCA","CA0150100",22149
"MOUNTLAKE TERRACE POLICE DEPARTMENT","WA","MOUNTLAKE TERRACE POLICE DEPARTMENTWA","WA0310600",21504
"LOUISVILLE POLICE DEPARTMENT","CO","LOUISVILLE POLICE DEPARTMENTCO","CO0070600",21101
"BLOOMFIELD POLICE DEPARTMENT","CT","BLOOMFIELD POLICE DEPARTMENTCT","CT0001100",21294
"SOUTH EUCLID POLICE DEPARTMENT","OH","SOUTH EUCLID POLICE DEPARTMENTOH","OH0185000",21179
"FISHKILL TOWN POLICE DEPARTMENT","NY","FISHKILL TOWN POLICE DEPARTMENTNY","NY0136400",21973
"BIDDEFORD POLICE DEPARTMENT","ME","BIDDEFORD POLICE DEPARTMENTME","ME0160100",21530
"PALMER TOWNSHIP POLICE DEPARTMENT","PA","PALMER TOWNSHIP POLICE DEPARTMENTPA","PA0480900",21506
"CORCORAN POLICE DEPARTMENT","CA","CORCORAN POLICE DEPARTMENTCA","CA0160100",21700
"FORNEY POLICE DEPARTMENT","TX","FORNEY POLICE DEPARTMENTTX","TX1290100",29366
"RAYMORE POLICE DEPARTMENT","MO","RAYMORE POLICE DEPARTMENTMO","MO0190700",22545
"CHILLICOTHE POLICE DEPARTMENT","OH","CHILLICOTHE POLICE DEPARTMENTOH","OH0710100",21700
"ALBERTVILLE POLICE DEPARTMENT","AL","ALBERTVILLE POLICE DEPARTMENTAL","AL0500100",21769
"STEPHENVILLE POLICE DEPARTMENT","TX","STEPHENVILLE POLICE DEPARTMENTTX","TX0720200",21777
"MONTVILLE TOWNSHIP POLICE","NJ","MONTVILLE TOWNSHIP POLICENJ","NJ0142100",20982
"CORINTH POLICE DEPARTMENT","TX","CORINTH POLICE DEPARTMENTTX","TX0612300",22367
"YPSILANTI POLICE DEPARTMENT","MI","YPSILANTI POLICE DEPARTMENTMI","MI8183600",20240
"BIRMINGHAM POLICE DEPARTMENT","MI","BIRMINGHAM POLICE DEPARTMENTMI","MI6325900",21536
"LYNN HAVEN POLICE DEPARTMENT","FL","LYNN HAVEN POLICE DEPARTMENTFL","FL0030700",20733
"ASHLAND POLICE DEPARTMENT","OR","ASHLAND POLICE DEPARTMENTOR","OR0150100",21419
"MILL CREEK POLICE DEPARTMENT","WA","MILL CREEK POLICE DEPARTMENTWA","WA0312100",21214
"EASLEY POLICE DEPARTMENT","SC","EASLEY POLICE DEPARTMENTSC","SC0390300",21446
"BONNEY LAKE POLICE DEPARTMENT","WA","BONNEY LAKE POLICE DEPARTMENTWA","WA0271400",21584
"NORTH SALT LAKE POLICE DEPARTMENT","UT","NORTH SALT LAKE POLICE DEPARTMENTUT","UT0060700",21540
"EUSTIS POLICE DEPARTMENT","FL","EUSTIS POLICE DEPARTMENTFL","FL0350100",21642
"SWEETWATER POLICE DEPARTMENT","FL","SWEETWATER POLICE DEPARTMENTFL","FL0132900",21109
"CORALVILLE POLICE DEPARTMENT","IA","CORALVILLE POLICE DEPARTMENTIA","IA0520100",22699
"NEW HOPE POLICE DEPARTMENT","MN","NEW HOPE POLICE DEPARTMENTMN","MN0271400",20970
"CARTERSVILLE POLICE DEPARTMENT","GA","CARTERSVILLE POLICE DEPARTMENTGA","GA0080100",21995
"ARNOLD POLICE DEPARTMENT","MO","ARNOLD POLICE DEPARTMENTMO","MO0500700",21115
"OXFORD POLICE DEPARTMENT","AL","OXFORD POLICE DEPARTMENTAL","AL0110500",17017
"EAST RIDGE POLICE DEPARTMENT","TN","EAST RIDGE POLICE DEPARTMENTTN","TN0330200",21202
"COLUMBIA HEIGHTS POLICE DEPARTMENT","MN","COLUMBIA HEIGHTS POLICE DEPARTMENTMN","MN0020400",21291
"SOUTH EL MONTE POLICE DEPARTMENT","CA","SOUTH EL MONTE POLICE DEPARTMENTCA","CA0196800",0
"MANOR TOWNSHIP POLICE DEPARTMENT","PA","MANOR TOWNSHIP POLICE DEPARTMENTPA","PA0362500",21177
"LITTLE EGG HARBOR TOWNSHIP POLICE","NJ","LITTLE EGG HARBOR TOWNSHIP POLICENJ","NJ0151600",21928
"MURPHY POLICE DEPARTMENT","TX","MURPHY POLICE DEPARTMENTTX","TX0431800",20798
"JEFFERSON TOWNSHIP POLICE","NJ","JEFFERSON TOWNSHIP POLICENJ","NJ0141400",20626
"SANFORD POLICE DEPARTMENT","ME","SANFORD POLICE DEPARTMENTME","ME0160500",21272
"PIQUA POLICE DEPARTMENT","OH","PIQUA POLICE DEPARTMENTOH","OH0550200",21427
"HATFIELD TOWNSHIP POLICE DEPARTMENT","PA","HATFIELD TOWNSHIP POLICE DEPARTMENTPA","PA0464100",21246
"HYDE PARK TOWN POLICE DEPARTMENT","NY","HYDE PARK TOWN POLICE DEPARTMENTNY","NY0136500",20766
"LELAND POLICE DEPARTMENT","NC","LELAND POLICE DEPARTMENTNC","NC0101300",24967
"BATTLE GROUND POLICE DEPARTMENT","WA","BATTLE GROUND POLICE DEPARTMENTWA","WA0060100",21669
"SOUTH MILWAUKEE POLICE DEPARTMENT","WI","SOUTH MILWAUKEE POLICE DEPARTMENTWI","WI0411400",20626
"LUMBERTON POLICE DEPARTMENT","NC","LUMBERTON POLICE DEPARTMENTNC","NC0780100",20370
"CHAMBERSBURG BOROUGH POLICE DEPARTMENT","PA","CHAMBERSBURG BOROUGH POLICE DEPARTMENTPA","PA0280100",21247
"SAPULPA POLICE DEPARTMENT","OK","SAPULPA POLICE DEPARTMENTOK","OK0190300",21326
"MCKEESPORT POLICE DEPARTMENT","PA","MCKEESPORT POLICE DEPARTMENTPA","PA0021300",20647
"PLEASANT PRAIRIE POLICE DEPARTMENT","WI","PLEASANT PRAIRIE POLICE DEPARTMENTWI","WI0300800",21181
"HAYS POLICE DEPARTMENT","KS","HAYS POLICE DEPARTMENTKS","KS0260100",20769
"WEST DEPARTMENTFORD POLICE","NJ","WEST DEPARTMENTFORD POLICENJ","NJ0082000",20878
"PALISADES PARK POLICE","NJ","PALISADES PARK POLICENJ","NJ0024500",20818
"JOHNSTOWN POLICE DEPARTMENT","PA","JOHNSTOWN POLICE DEPARTMENTPA","PA0110400",20390
"MILWAUKIE POLICE DEPARTMENT","OR","MILWAUKIE POLICE DEPARTMENTOR","OR0030500",21040
"UNIVERSAL CITY POLICE DEPARTMENT","TX","UNIVERSAL CITY POLICE DEPARTMENTTX","TX0151400",21162
"PLEASANTVILLE POLICE","NJ","PLEASANTVILLE POLICENJ","NJ0011900",20135
"LOMITA POLICE DEPARTMENT","CA","LOMITA POLICE DEPARTMENTCA","CA0194000",0
"GOLDEN POLICE DEPARTMENT","CO","GOLDEN POLICE DEPARTMENTCO","CO0300200",20981
"ELKO POLICE DEPARTMENT","NV","ELKO POLICE DEPARTMENTNV","NV0040100",20697
"AGOURA HILLS","CA","AGOURA HILLSCA","CA0191F00",0
"EVANS POLICE DEPARTMENT","CO","EVANS POLICE DEPARTMENTCO","CO0620400",21515
"BRYANT POLICE DEPARTMENT","AR","BRYANT POLICE DEPARTMENTAR","AR0630200",21497
"PICKERINGTON POLICE DEPARTMENT","OH","PICKERINGTON POLICE DEPARTMENTOH","OH0230900",22539
"GARDNER POLICE DEPARTMENT","MA","GARDNER POLICE DEPARTMENTMA","MA0141600",20629
"LEBANON POLICE DEPARTMENT","OH","LEBANON POLICE DEPARTMENTOH","OH0830300",20720
"BRUNSWICK POLICE DEPARTMENT","ME","BRUNSWICK POLICE DEPARTMENTME","ME0030100",20566
"FERGUSON POLICE DEPARTMENT","MO","FERGUSON POLICE DEPARTMENTMO","MO0952800",20454
"MARBLEHEAD POLICE DEPARTMENT","MA","MARBLEHEAD POLICE DEPARTMENTMA","MA0051700",20525
"ADRIAN POLICE DEPARTMENT","MI","ADRIAN POLICE DEPARTMENTMI","MI4620200",20540
"ELLENSBURG POLICE DEPARTMENT","WA","ELLENSBURG POLICE DEPARTMENTWA","WA0190100",21448
"DICKINSON POLICE DEPARTMENT","TX","DICKINSON POLICE DEPARTMENTTX","TX0840200",21364
"BERLIN POLICE DEPARTMENT","CT","BERLIN POLICE DEPARTMENTCT","CT0000700",20497
"PLAINVIEW POLICE DEPARTMENT","TX","PLAINVIEW POLICE DEPARTMENTTX","TX0950400",19926
"HAMMOND POLICE DEPARTMENT","LA","HAMMOND POLICE DEPARTMENTLA","LA0530100",21605
"SIDNEY POLICE DEPARTMENT","OH","SIDNEY POLICE DEPARTMENTOH","OH0750100",20372
"NORTHFIELD POLICE DEPARTMENT","MN","NORTHFIELD POLICE DEPARTMENTMN","MN0660200",19608
"MARQUETTE POLICE DEPARTMENT","MI","MARQUETTE POLICE DEPARTMENTMI","MI5255900",20957
"ASHLAND POLICE DEPARTMENT","KY","ASHLAND POLICE DEPARTMENTKY","KY0100100",19979
"MOORESTOWN TOWNSHIP POLICE","NJ","MOORESTOWN TOWNSHIP POLICENJ","NJ0032300",20491
"LOCKPORT POLICE DEPARTMENT","NY","LOCKPORT POLICE DEPARTMENTNY","NY0310100",20212
"SECAUCUS POLICE","NJ","SECAUCUS POLICENJ","NJ0090900",22535
"PORTSMOUTH POLICE DEPARTMENT","OH","PORTSMOUTH POLICE DEPARTMENTOH","OH0730200",20151
"DIXON POLICE DEPARTMENT","CA","DIXON POLICE DEPARTMENTCA","CA0480200",20967
"NEW CANAAN POLICE DEPARTMENT","CT","NEW CANAAN POLICE DEPARTMENTCT","CT0009000",20281
"EASTCHESTER TOWN POLICE DEPARTMENT","NY","EASTCHESTER TOWN POLICE DEPARTMENTNY","NY0595200",19991
"GENESEE TOWNSHIP POLICE DEPARTMENT","MI","GENESEE TOWNSHIP POLICE DEPARTMENTMI","MI2542200",20325
"ASHLAND POLICE DEPARTMENT","OH","ASHLAND POLICE DEPARTMENTOH","OH0030100",20247
"ROLLA POLICE DEPARTMENT","MO","ROLLA POLICE DEPARTMENTMO","MO0810100",20522
"ALBANY POLICE DEPARTMENT","CA","ALBANY POLICE DEPARTMENTCA","CA0010200",19830
"WARRENSBURG POLICE DEPARTMENT","MO","WARRENSBURG POLICE DEPARTMENTMO","MO0510300",20591
"KINSTON POLICE DEPARTMENT","NC","KINSTON POLICE DEPARTMENTNC","NC0540100",19862
"BUCKINGHAM TOWNSHIP POLICE DEPARTMENT","PA","BUCKINGHAM TOWNSHIP POLICE DEPARTMENTPA","PA0094700",20255
"MUHLENBERG TOWNSHIP POLICE DEPARTMENT","PA","MUHLENBERG TOWNSHIP POLICE DEPARTMENTPA","PA0061300",20417
"WEST CHESTER BOROUGH POLICE DEPARTMENT","PA","WEST CHESTER BOROUGH POLICE DEPARTMENTPA","PA0151300",20211
"MOUNT MORRIS TOWNSHIP POLICE DEPARTMENT","MI","MOUNT MORRIS TOWNSHIP POLICE DEPARTMENTMI","MI2584500",20207
"OGDEN TOWN POLICE DEPARTMENT","NY","OGDEN TOWN POLICE DEPARTMENTNY","NY0275900",20603
"TUKWILA POLICE DEPARTMENT","WA","TUKWILA POLICE DEPARTMENTWA","WA0172300",20483
"ELMWOOD PARK BOROUGH POLICE","NJ","ELMWOOD PARK BOROUGH POLICENJ","NJ0021100",19994
"SOUTH ST. PAUL POLICE DEPARTMENT","MN","SOUTH ST. PAUL POLICE DEPARTMENTMN","MN0190600",20053
"ROCKY RIVER POLICE DEPARTMENT","OH","ROCKY RIVER POLICE DEPARTMENTOH","OH0184600",19951
"MILLBURN POLICE","NJ","MILLBURN POLICENJ","NJ0071200",20053
"SULPHUR POLICE DEPARTMENT","LA","SULPHUR POLICE DEPARTMENTLA","LA0100300",20029
"SANDWICH POLICE DEPARTMENT","MA","SANDWICH POLICE DEPARTMENTMA","MA0011200",20008
"NEW HARTFORD TOWN POLICE DEPARTMENT","NY","NEW HARTFORD TOWN POLICE DEPARTMENTNY","NY0324100",20173
"SUWANEE POLICE DEPARTMENT","GA","SUWANEE POLICE DEPARTMENTGA","GA0670900",21633
"ORONO POLICE DEPARTMENT","MN","ORONO POLICE DEPARTMENTMN","MN0271500",20387
"PITTSBURG POLICE DEPARTMENT","KS","PITTSBURG POLICE DEPARTMENTKS","KS0190100",20027
"OZARK POLICE DEPARTMENT","MO","OZARK POLICE DEPARTMENTMO","MO0220300",20788
"PUNTA GORDA POLICE DEPARTMENT","FL","PUNTA GORDA POLICE DEPARTMENTFL","FL0080200",20766
"ROCKY HILL POLICE DEPARTMENT","CT","ROCKY HILL POLICE DEPARTMENTCT","CT0011900",20160
"UPPER ALLEN TOWNSHIP POLICE DEPARTMENT","PA","UPPER ALLEN TOWNSHIP POLICE DEPARTMENTPA","PA0211800",20655
"FOREST LAKE POLICE DEPARTMENT","MN","FOREST LAKE POLICE DEPARTMENTMN","MN0820200",21230
"FERNDALE POLICE DEPARTMENT","MI","FERNDALE POLICE DEPARTMENTMI","MI6339400",20048
"SOUTHOLD TOWN POLICE DEPARTMENT","NY","SOUTHOLD TOWN POLICE DEPARTMENTNY","NY0515900",19957
"PAYSON POLICE DEPARTMENT","UT","PAYSON POLICE DEPARTMENTUT","UT0250400",20498
"SCARBOROUGH POLICE DEPARTMENT","ME","SCARBOROUGH POLICE DEPARTMENTME","ME0030700",21237
"HUDSON POLICE DEPARTMENT","MA","HUDSON POLICE DEPARTMENTMA","MA0092200",19839
"SAND SPRINGS POLICE DEPARTMENT","OK","SAND SPRINGS POLICE DEPARTMENTOK","OK0720300",19634
"NORTHWEST LANCASTER CO. REGIONAL POLICE DEPARTMENT","PA","NORTHWEST LANCASTER CO. REGIONAL POLICE DEPARTMENTPA","PA0362600",20590
"FOREST PARK POLICE DEPARTMENT","GA","FOREST PARK POLICE DEPARTMENTGA","GA0310200",20202
"GERMANTOWN POLICE DEPARTMENT","WI","GERMANTOWN POLICE DEPARTMENTWI","WI0670100",20133
"PARMA HEIGHTS POLICE DEPARTMENT","OH","PARMA HEIGHTS POLICE DEPARTMENTOH","OH0184300",19679
"EAST HAMPTON TOWN POLICE DEPARTMENT","NY","EAST HAMPTON TOWN POLICE DEPARTMENTNY","NY0515200",19927
"PORT ANGELES POLICE DEPARTMENT","WA","PORT ANGELES POLICE DEPARTMENTWA","WA0050100",20364
"SHAFTER POLICE DEPARTMENT","CA","SHAFTER POLICE DEPARTMENTCA","CA0150700",20799
"NORTON POLICE DEPARTMENT","MA","NORTON POLICE DEPARTMENTMA","MA0031300",19932
"HORIZON CITY POLICE DEPARTMENT","TX","HORIZON CITY POLICE DEPARTMENTTX","TX0711400",19973
"SHELBY POLICE DEPARTMENT","NC","SHELBY POLICE DEPARTMENTNC","NC0230200",19994
"NORWOOD POLICE DEPARTMENT","OH","NORWOOD POLICE DEPARTMENTOH","OH0312800",19843
"BETHEL POLICE DEPARTMENT","CT","BETHEL POLICE DEPARTMENTCT","CT0000900",19932
"NOGALES POLICE DEPARTMENT","AZ","NOGALES POLICE DEPARTMENTAZ","AZ0120100",20026
"HAZLET POLICE","NJ","HAZLET POLICENJ","NJ0133900",19593
"MIDDLETON POLICE DEPARTMENT","WI","MIDDLETON POLICE DEPARTMENTWI","WI0130200",20322
"BARTOW POLICE DEPARTMENT","FL","BARTOW POLICE DEPARTMENTFL","FL0530200",20507
"MIAMISBURG POLICE DEPARTMENT","OH","MIAMISBURG POLICE DEPARTMENTOH","OH0570800",20140
"SNELLVILLE POLICE DEPARTMENT","GA","SNELLVILLE POLICE DEPARTMENTGA","GA0670800",20282
"GLASSBORO POLICE","NJ","GLASSBORO POLICENJ","NJ0080600",20461
"OREGON POLICE DEPARTMENT","OH","OREGON POLICE DEPARTMENTOH","OH0480200",20026
"SOUTH WHITEHALL TOWNSHIP POLICE DEPARTMENT","PA","SOUTH WHITEHALL TOWNSHIP POLICE DEPARTMENTPA","PA0391300",20042
"BOURNE POLICE DEPARTMENT","MA","BOURNE POLICE DEPARTMENTMA","MA0010200",19657
"BELLE GLADE POLICE DEPARTMENT","FL","BELLE GLADE POLICE DEPARTMENTFL","FL0500100",20357
"HAVELOCK PUBLIC SAFETY","NC","HAVELOCK PUBLIC SAFETYNC","NC0250100",19722
"PINECREST POLICE DEPARTMEN","FL","PINECREST POLICE DEPARTMENFL","FL0139200",19255
"ALAMO POLICE DEPARTMENT","TX","ALAMO POLICE DEPARTMENTTX","TX1080100",20078
"WEST ST. PAUL POLICE DEPARTMENT","MN","WEST ST. PAUL POLICE DEPARTMENTMN","MN0190700",20007
"WEST MIFFLIN BOROUGH POLICE DEPARTMENT","PA","WEST MIFFLIN BOROUGH POLICE DEPARTMENTPA","PA0024700",19632
"NORTH OGDEN POLICE DEPARTMENT","UT","NORTH OGDEN POLICE DEPARTMENTUT","UT0290500",20960
"MURRYSVILLE POLICE DEPARTMENT","PA","MURRYSVILLE POLICE DEPARTMENTPA","PA0650100",19537
"UPPER ST. CLAIR TOWNSHIP POLICE DEPARTMENT","PA","UPPER ST. CLAIR TOWNSHIP POLICE DEPARTMENTPA","PA0022500",19791
"MONROE POLICE DEPARTMENT","MI","MONROE POLICE DEPARTMENTMI","MI5859000",19433
"SPRINGFIELD TOWNSHIP POLICE DEPARTMENT","PA","SPRINGFIELD TOWNSHIP POLICE DEPARTMENTPA","PA0462300",19901
"LYNBROOK VILLAGE POLICE DEPARTMENT","NY","LYNBROOK VILLAGE POLICE DEPARTMENTNY","NY0290700",19441
